filepath,file_size,num_sections,export_count,avg_entropy,label
C:\Windows\System32\07409496-a423-4a3e-b620-2cfb01a9318d_HyperV-ComputeNetwork.dll,26032,4,0,0.601333292,0
C:\Windows\System32\0ae3b998-9a38-4b72-a4c4-06849441518d_Servicing-Stack.dll,26032,4,0,0.619624295,0
C:\Windows\System32\3bc29097-7317-41d3-93b9-38a48f99d48a_mssrch.dll,26032,4,0,0.563637403,0
C:\Windows\System32\4545ffe2-0dc4-4df4-9d02-299ef204635e_hvsocket.dll,26016,4,0,0.562292809,0
C:\Windows\System32\69fe178f-26e7-43a9-aa7d-2b616b672dde_eventlogservice.dll,26056,4,0,0.577724001,0
C:\Windows\System32\6bea57fb-8dfb-4177-9ae8-42e8b3529933_RuntimeDeviceInstall.dll,26056,4,0,0.614852999,0
C:\Windows\System32\aadauthhelper.dll,446464,8,10,2.427500558,0
C:\Windows\System32\aadcloudap.dll,1019904,8,3,3.227813058,0
C:\Windows\System32\aadjcsp.dll,98304,7,1,2.557501715,0
C:\Windows\System32\aadtb.dll,1495552,8,7,4.254734346,0
C:\Windows\System32\aadWamExtension.dll,234952,8,3,2.754578346,0
C:\Windows\System32\AarSvc.dll,569344,7,4,3.75642137,0
C:\Windows\System32\AboutSettingsHandlers.dll,796088,8,1,3.278995038,0
C:\Windows\System32\AboveLockAppHost.dll,409600,8,3,2.82131679,0
C:\Windows\System32\accessibilitycpl.dll,307200,8,6,2.969572897,0
C:\Windows\System32\accountaccessor.dll,303104,8,17,3.052534402,0
C:\Windows\System32\AccountHealth.dll,258048,7,3,2.903942061,0
C:\Windows\System32\AccountsRt.dll,376832,8,3,3.224482341,0
C:\Windows\System32\AcGenral.dll,489064,8,2,2.950191268,0
C:\Windows\System32\AcLayers.dll,405504,8,2,2.777705333,0
C:\Windows\System32\acledit.dll,32768,7,8,1.596352886,0
C:\Windows\System32\aclui.dll,573440,8,8,3.704528683,0
C:\Windows\System32\acmigration.dll,656824,7,9,3.446831831,0
C:\Windows\System32\ACPBackgroundManagerPolicy.dll,262144,8,2,2.730646037,0
C:\Windows\System32\acppage.dll,155648,8,3,2.496572129,0
C:\Windows\System32\acproxy.dll,40960,7,1,1.191298143,0
C:\Windows\System32\AcSpecfc.dll,139264,7,2,2.383791512,0
C:\Windows\System32\ActionCenter.dll,335872,8,2,3.273977209,0
C:\Windows\System32\ActionCenterCPL.dll,159744,8,4,2.838676579,0
C:\Windows\System32\ActionQueue.dll,267696,7,2,3.244927075,0
